"","rent","bedrooms","bathrooms","size_sqft","min_to_subway","floor","no_fee","has_roofdeck","has_washer_dryer","has_doorman","has_elevator","has_dishwasher","has_patio","has_gym","submarket_All.Downtown","submarket_All.Midtown","submarket_All.Upper.East.Side","submarket_All.Upper.Manhattan","submarket_All.Upper.West.Side","submarket_Central.Queens","submarket_East.Brooklyn","submarket_North.Brooklyn","submarket_Northeast.Queens","submarket_Northwest.Brooklyn","submarket_Northwest.Queens","submarket_Prospect.Park","submarket_South.Brooklyn","submarket_South.Queens","submarket_The.Rockaways","before_war"
"1",2550,0,1,-0.999888529428655,9,2,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",11500,2,2,2.453476001408,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3",3000,3,1,0.181525652173359,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"4",4500,1,1,-0.00931817716235099,2,51,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",4795,1,1,0.124726893442493,3,8,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",3600,3,2,-0.0456693827501053,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"7",1950,1,1,0.0679281347116268,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"8",17500,2,2,8.814936979265,3,4,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9",3500,1,1,0.17243785077642,9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"10",3800,3,2,0.408720687096823,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"11",3900,3,2,0.181525652173359,4,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"12",1995,0,0,-0.727254487520498,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"13",2995,0,1,-0.774965444854425,6,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",2700,2,1,-0.0456693827501053,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"15",15000,2,2,1.80597015187613,0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",4650,1,1,-0.0115901275115856,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"17",2950,1,1,-0.84085200498223,43,17,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",4900,1,1,0.672266927608042,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"19",6920,3,2,1.17891185548737,7,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",4875,1,1,-0.0456693827501053,1,14,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"21",4850,1,1,-0.297855871515151,2,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",1725,1,1,-0.272864417673569,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"23",3700,1,1,0.0611122836639229,5,5,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"24",3900,0,1,0.408720687096823,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"25",4200,2,1,-0.0456693827501053,4,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"26",1700,1,1,-0.431900942119994,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
